用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
五色全味,https://www.douban.com/people/wusequanwei/,立荐,2019-12-05 21:39:51,幾乎每場戲的處理都沒有亮點。肖央和大女兒的戲都指導得不行，陳沖譚卓還不錯。作為本身已有劇作基礎的翻拍片，不知道還有什麼可誇的,23,北京,眼高手低，no can love bb
七杀场,https://www.douban.com/people/ximumu/,较差,2019-12-10 22:43:33,比之前的几部翻拍已经好很多了…但还是看的很不舒服…总感觉这种算不上电影…撑死了一山寨Cosplay…以往的黑白老电影，希区柯克那些，不有好些呢吗，买个骨架回来再创造呗，非要原封不动的搞个新的，连镜头都弄得大差不差有意思吗…ps：陈冲真绝！要是中国本土原创能有这样的角色，中国大龄女演员何愁拍不到戏！,31,北京,开心就笑，不开心就过会儿再笑。
Clyde,https://www.douban.com/people/chenhuayang/,还行,2019-12-14 18:51:21,“如果你看过一千部电影，这个世界也就没有什么离奇的事情了。”我的观影量已是李伟杰的五倍，仍然觉得现实比电影更离奇，更有想象力。如果推理不只是推理，与魔幻现实主义结合，该片必定能再上一个台阶。,21,广东深圳,http://t.sina.com.cn/clyde84
Jo-King,https://www.douban.com/people/65810972/,较差,2019-12-11 21:01:55,没完没了的慢镜真是煎熬……亮点是最后的民运民意，而唯一笑点是破案靠查观影记录哈哈哈哈哈哈哈哈哈,22,浙江杭州,无签名
维城乱马,https://www.douban.com/people/weichengluanma/,推荐,2019-12-13 12:51:43,《The Yang Xiao Redemption/肖央的救赎》。果然是一个只能发生在国外的故事，毕竟在中国的电影院里，正义从来都不会缺席，更别提迟到。对了，怎么才能快速删除在豆瓣看过的犯罪片观影记录，在线等，挺急的！,24,云南昆明,修身持志 怡情养性 宁静致远
顗礼,https://www.douban.com/people/149152146/,较差,2019-12-14 20:45:58,两星半。陈大监制这是想着法子让融梗合理化呢吧；本来就是翻拍还“致敬”泄底了那么多片子，之前他亲自拍的两部“唐探”虽然也是同样的问题但至少走类型片公式走的不错，这一部的这个新导演完全没有任何灵气可言，只会滥用升格加用最低级直给的方式向观众传递信息、符号与情绪（尽管有几场戏还是起作用的），节奏看似紧凑实则很糟糕，最后的那个特色结局处理乍看有进步但也挺扯淡，相信能打动一些人但真是没法夸。,18,未知,无签名
巴伐利亞酒神,https://www.douban.com/people/darkwood/,推荐,2019-12-12 12:57:21,“给我去调查他的观影记录！”全场笑炸了。,24,上海,无签名
叶酱,https://www.douban.com/people/bluelavender/,还行,2019-12-14 16:51:22,结尾太不爽了！,23,"Kyoto, Japan",公众号：叶酱的孤独星球
哪吒男,https://www.douban.com/people/nezhaboy/,还行,2019-12-14 18:24:29,看过电影没什么了不起，关键是你的对手要有对手；真相也没有什么了不起，就怕真相假象都必须长一个模样。,10,广东深圳,伟大的发明还在后头
Jeannels,https://www.douban.com/people/92468807/,立荐,2019-12-10 23:05:38,“查下他最近一个月的观影记录。”,17,四川成都,没有活路的时候，他们就去跳舞。
张咏轩Wayne®,https://www.douban.com/people/55617091/,推荐,2019-12-05 22:58:04,用了特别戏谑的方式处理，将故事背景搬至泰国，避开国人倡导的价值取向，把更残酷的内核真相掰扯开来，理与法，善与恶，权与欲，以正面的交锋冲突拉锯，肖央，谭卓，陈冲投身事件，近乎炸裂的对立演绎，还以事件的惊心动魄，你无法站在任何一方为其辩解，因为，对错在博弈，正义在消解，双方都站在了“法理”的灰色地界，“误杀”为肖央谭卓蒙上担惊受怕，“罔顾”让陈冲姜皓文丟职落选，“真相”于他们来说就是颗炸弹，却不得不去靠近，一场开棺寻尸的戏，让这种伤害放噬到极点，慢镜浮动，缓急审慎，让电影内外的众人都屏气凝神，拨弄心弦效果极佳。以秦沛代表的民众群像，更是事件外的推动者，拥护自认为的正义，鞭笞脱序的执法者，一如摆荡的真相，整部电影虽然荒诞，但无比映衬现实，那一具始终无法寻获的尸体，本身就是一口桎梏黑暗的无底深渊…,153,北京,无签名
No name,https://www.douban.com/people/51061132/,推荐,2019-12-12 13:58:01,介绍《白夜行》啊混蛋！影迷的大逆袭哈哈哈，看过2000+的我哭了，居然还加入了对当前热点的一些映射。陈冲谭卓母亲对视和秦沛的片尾一幕够劲,10,福建福州,Whatever works
玫瑰色的你,https://www.douban.com/people/fsisme/,较差,2019-12-22 14:55:50,看到结尾的时候坐我旁边的女士问了她男友两个直击人心的问题：他为什么要自首啊？他既然要越狱自首干什么啊？是啊这是为什么啊？？？？你说你为了审查加句字幕我也认了，你居然还用了10分钟把自首过程拍出来了，还拍的这么感人，那前面那90分钟不都白折腾了吗？？？,15,天津,我的心是一杯调和过的咖啡
SydneyCarton,https://www.douban.com/people/SydneyCarton/,还行,2019-12-16 00:26:25,原来肖央是李安的爹……,13,"Praha, Czech Republic",直男癌
宇宙,https://www.douban.com/people/taboo33/,力荐,2019-12-10 21:27:14,"前一个半小时非常痛快，后面为了过审可以理解，加入了过多的概念。提前观影，不透剧，心中今年商业片No1。
一部剪辑和逻辑很高级的片子，没看过印度原著，感觉导演很牛逼。
“去查他一年的观影记录！”",51,北京,冯克利是我的新偶像
路人Eita,https://www.douban.com/people/wind_field/,还行,2019-12-12 14:24:17,其实还是漏洞百出，例如那个连夜赶回的的士司机就能很轻易地成为破绽。演技加分。3.5星。,29,广东广州,山中無歲月，春盡不知年
赵启辰,https://www.douban.com/people/10345879/,还行,2019-12-14 23:02:09,还行吧，就是那种你进电影院看一遍觉得应该等网络出了吃着饭看那种片，对于一个悬疑片来说，你大底搞那么好猜的情况下就别憋情绪了，演员表情使出拉屎的劲音乐使劲轰镜头升到两百格到头来观众只想快进,12,中国香港,生生不息，繁荣昌盛
木岛理生,https://www.douban.com/people/182303787/,力荐,2019-12-11 02:36:45,自首的这一波设计完全就不是为了过审。,47,北京,无签名
王小叶儿,https://www.douban.com/people/wangxiaoyeer/,推荐,2019-12-09 01:06:09,"误杀不在杀，而在误。
因何误？何以误？何是误，何视误？
反向复仇，后续二女儿再次反杀，冤冤相报。
我们，皆是羊，皆为误。
就算努力挣扎，
也注定，走不出这一片苍茫。
商业类型片的爽感背后，
散落一地的细思极恐。
",32,北京,带着好文寻觅知音。
小楼。,https://www.douban.com/people/4773109/,较差,2019-12-15 00:45:00,印度版其实不难改，缩短点就行了，本土化做得很规矩，但审查结局把原主题降到普通类型片的水准。其实故事里起到最大作用的是独立的媒体和群众，其次是民选，再次才是个人的智慧，从这个角度我们可以知道H的废青们想要的是什么。看完后听到一家人讨论，妈妈教育儿子说这个故事告诉我们小孩发生任何事都要回家告诉家长，那个女孩如果告诉了爸爸，就不至于有后面这些事；小孩问说了坏人也要发视频啊；妈妈说他们不敢，告诉了我们一起想办法，起码不至于跟电影里一样去杀人；小孩问我要是也被欺负了你要怎么办呢？爸爸答我们想办法呀；小孩咕嘟了一下嘴。我倒是挺想知道依照这样的教育，这家人到底有何高见，能想出什么办法。,13,北京,怀抱既然不能逗留。
东北洪尚秀,https://www.douban.com/people/Zazai/,还行,2019-12-08 23:20:43,导演还是功夫不到，不够稳，几个转折点非常突兀。当然陈冲、肖央、谭卓三位演员的表演还是可圈可点的，只是其他的配角戏份全程掉，这就很脱节了。不过国内观众应该会挺喜欢的，爽就完了。,21,北京,在线等一个江南金敏喜
孟浪,https://www.douban.com/people/hjt8844/,还行,2019-12-15 12:33:42,赛国变重庆，姜皓文陈冲分别代换为薄熙来和谷开来，原来讲的是一切为了傻儿子薄瓜瓜的故事，不得不佩服这个导演的高级黑水准。其实片子和悬疑惊悚的关系不大，基本就是一个照猫画虎的推理案件搬演，导演的视听思维很有限，还停留在初入行的那三板斧之上（慢镜、平行剪辑、音乐），对演员的摆布也有点失控，虚拟时空但又利用第三国文化背景的做法既做作又鸡贼，让人有一种不适感。,14,北京,勤耕耘无多有少，苦读书不圣亦贤
西楼尘,https://www.douban.com/people/xilouchen/,还行,2019-12-23 15:25:51,越是呼唤正义，越无法直面真相。棺材盖上的指印，佛寺里逡巡的山羊，试卷上涂改的分数，都在叩问着善恶天平。埋进棺材的活人，用来赎罪的佛塔，错位的观影用途，都被困顿进人心困局。建多高赎罪佛塔，都高不过良心。看多少犯罪电影，都看不完人心。如果法律不能保护我们，就拿肉身与谎言挡在你们前面。,10,江苏苏州,我们能不能停下不看电影
深夜声噎,https://www.douban.com/people/sfroompp/,还行,2019-12-07 22:11:14,移植到寨(泰)国也不知该说聪明还是悲哀…影片一开始的调色一言难尽，后面还能变回正常…这不统一是忘了调还是…whatever镜头语言剪辑配乐配角们都不行，如若不是陈冲谭卓很杀让人看得挺爽估计就看不下去…查他近一年的观影记录笑喷，豆瓣账号记得要已注销啊手动捂脸表情，寨国也不是法外之地，本来想给女士们特别小女孩加一星，在寨国也得贵国式结尾，算了还是不加了。有空补起阿三原版。,16,广东广州,Nothing really matters
居无间,https://www.douban.com/people/juwujian/,还行,2019-12-11 18:56:48,改编自带原罪，想夸，夸的基本都是原版。线索介绍和节奏把控都挺成熟。故事最精彩之处是视角，聚焦处于底层的受害者一家，去挑战上流阶层，这一下抓住了观众的同情心。它让观众参与进来，同呼吸共命运，跟着做一件「不法的正义之举」，这胜利是一场共谋，是情绪的宣泄。小女儿的人设不错，这不安定因素，提高了整个局的紧张度。羔羊的符号用得也可以，让悬疑以外的阶层之战像那么回事（《天才枪手》也在点题）。陈冲的表演是亮点，呈现出了母亲的关切与脆弱，以及警察局长的威严与气场。,14,上海,寄托，虚无。
荔枝超人,https://www.douban.com/people/richer725/,较差,2019-12-18 19:17:34,一部犯罪片，将犯罪过程拍得再热闹再“好看”，最后为了审查却让实施者自首收场（试想肖申克救赎男主最后领悟到逃狱不对跑去自首或被警察抓回监狱），搞不懂这有什么意思，志在抢钱吗。,8,未知,拉赫骂你懦夫
南国最相思,https://www.douban.com/people/136198294/,推荐,2019-12-09 15:26:57,把案件场景从印度搬到泰国，内核没变，感觉不出太多本土化的概念。不过总体电影的剪辑节奏非常漂亮，里面能看出很多属于陈思诚监制的风格。强剧情但不是强翻转仔细想还是有一些bug，然而不影响观看的爽感。演员们都很不错。,20,北京,无签名
